LocalAuthority,Category,Type,LicenceArea,LCT_Connections,True Export,Predicted Export,Residual
Maldon District (B),Demand,Heat Pump,Eastern Power Networks (EPN),23,0,2.548477,-2.5484769344329834
Brentwood District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
Lambeth London Boro,Generation,Solar PV,London Power Networks (LPN),6,15,22.375008,-7.375007629394531
Buckinghamshire,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,-0.037166905,0.03716690465807915
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,11,22.795174,-11.795173645019531
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,33,36.552258,-3.552257537841797
East Hertfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,18,22.886513,-4.886512756347656
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,44,43.76783,0.23217010498046875
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,22.718973,-3.718973159790039
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),9,26,30.742554,-4.7425537109375
Medway (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),8,0,0.02479649,-0.024796489626169205
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),11,40,37.82723,2.172771453857422
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),22,76,81.69991,-5.699913024902344
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,24,28.514223,-4.514223098754883
Croydon London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.23524521,0.2352452129125595
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),8,30,32.327248,-2.3272476196289062
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,15,37.40434,-22.404338836669922
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),18,63,63.252495,-0.25249481201171875
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),9,32,34.000187,-2.0001869201660156
Waltham Forest London Boro,Generation,Solar PV,London Power Networks (LPN),14,24,34.13443,-10.134429931640625
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),17,62,67.43284,-5.432838439941406
Rochford District,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.08644779,-0.08644779026508331
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),8,22,32.327248,-10.327247619628906
Guildford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,27,35.682945,-8.682945251464844
Maidstone District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,39,31.383266,7.616733551025391
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,30,31.383266,-1.3832664489746094
Chelmsford District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.43597764,0.43597763776779175
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),8,28,30.818497,-2.8184967041015625
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),12,46,41.959976,4.0400238037109375
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),12,37,42.637928,-5.637928009033203
Broadland District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.1944542,-0.19445419311523438
Barnet London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,-0.072602615,0.07260261476039886
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),9,32,32.258327,-0.2583274841308594
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,18,22.795174,-4.795173645019531
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),6,29,23.490492,5.50950813293457
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),9,34,32.161602,1.8383979797363281
Kingston upon Thames London Boro,Generation,Solar PV,London Power Networks (LPN),9,34,30.885347,3.114652633666992
Maidstone District (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,37,38.238605,-1.2386054992675781
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,25,22.795174,2.2048263549804688
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),6,20,21.600077,-1.600076675415039
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),23,79,70.531525,8.468475341796875
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,18,22.795174,-4.795173645019531
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,21,26.036242,-5.03624153137207
Bexley London Boro,Demand,EV Charging Point,London Power Networks (LPN),11,0,-0.082135625,0.0821356251835823
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),9,87,31.786533,55.21346664428711
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,18,22.795174,-4.795173645019531
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,46,31.38473,14.615270614624023
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,29,26.585867,2.414133071899414
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,25,23.034588,1.9654121398925781
South Oxfordshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,50,22.886513,27.113487243652344
Arun District,Generation,Solar PV,South Eastern Power Networks (SPN),11,37,38.238605,-1.2386054992675781
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,92,39.960003,52.03999710083008
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),8,36,32.327248,3.6727523803710938
South Cambridgeshire District,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,-0.3257591,0.3257591128349304
Brent London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,-0.9511439,0.9511439204216003
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),28,111,83.17902,27.82097625732422
Hastings District (B),Generation,Solar PV,South Eastern Power Networks (SPN),12,46,41.959976,4.0400238037109375
The City of Brighton and Hove (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),10,0,0.19229399,-0.19229398667812347
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),17,59,67.43284,-8.432838439941406
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),8,26,30.115936,-4.115936279296875
Epsom and Ewell District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,-0.31061822,0.31061822175979614
Fenland District,Generation,Solar PV,Eastern Power Networks (EPN),27,90,114.80092,-24.800918579101562
Barking and Dagenham London Boro,Demand,EV Charging Point,London Power Networks (LPN),6,0,-1.7887194,1.7887194156646729
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),6,16,23.071358,-7.071357727050781
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,30,30.975948,-0.9759483337402344
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,24,28.954922,-4.954921722412109
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),7,23,25.673445,-2.6734447479248047
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,22,26.585867,-4.585866928100586
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,25,29.786375,-4.786375045776367
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,28,34.769905,-6.769905090332031
Watford District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),14,0,0.49661744,-0.4966174364089966
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,16,23.607721,-7.607721328735352
Waltham Forest London Boro,Generation,Solar PV,London Power Networks (LPN),8,21,25.706003,-4.706003189086914
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),6,14,23.175089,-9.175088882446289
Bromley London Boro,Demand,EV Charging Point,London Power Networks (LPN),6,0,-0.31299734,0.31299734115600586
Bromley London Boro,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Hastings District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,25,26.036242,-1.0362415313720703
Rother District,Generation,Solar PV,South Eastern Power Networks (SPN),8,22,29.701645,-7.7016448974609375
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),21,101,70.27919,30.720809936523438
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),17,65,57.942516,7.057483673095703
Wandsworth London Boro,Demand,EV Charging Point,London Power Networks (LPN),7,0,-0.16914302,0.16914302110671997
Brent London Boro,Generation,Solar PV,London Power Networks (LPN),6,14,22.227468,-8.227468490600586
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),9,32,32.521408,-0.5214080810546875
Reigate and Banstead District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),27,81,87.526276,-6.526275634765625
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),7,29,25.395529,3.604471206665039
Breckland District,Demand,Heat Pump,Eastern Power Networks (EPN),10,0,0.25384974,-0.25384974479675293
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),6,20,20.980406,-0.9804058074951172
Luton (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.87218773,0.8721877336502075
Epping Forest District,Demand,Heat Pump,Eastern Power Networks (EPN),13,0,-2.381794,2.381793975830078
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,29,32.960888,-3.960887908935547
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),21,74,71.86357,2.1364288330078125
Broxbourne District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,33,36.841846,-3.841846466064453
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),17,62,57.725864,4.274135589599609
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),10,29,39.800076,-10.80007553100586
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),11,36,39.113667,-3.113666534423828
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,15,22.795174,-7.795173645019531
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),12,55,42.031837,12.968162536621094
Kensington and Chelsea London Boro,Generation,Solar PV,London Power Networks (LPN),31,79,86.82547,-7.825469970703125
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),12,40,42.031837,-2.0318374633789062
South Cambridgeshire District,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,-0.15550268,0.15550267696380615
Brentwood District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,16,15.596942,0.4030580520629883
East Cambridgeshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.21658753,-0.21658752858638763
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,35,40.149685,-5.149684906005859
North Hertfordshire District,Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,-0.035914365,0.03591436520218849
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,40,43.220352,-3.2203521728515625
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),7,33,27.08836,5.911640167236328
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,18,21.144041,-3.144041061401367
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),9,58,32.258327,25.74167251586914
Babergh District,Generation,Solar PV,Eastern Power Networks (EPN),17,55,57.942516,-2.942516326904297
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,36,39.858265,-3.858264923095703
Mole Valley District,Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),6,17,21.600077,-4.600076675415039
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),14,45,51.214554,-6.2145538330078125
Bexley London Boro,Demand,EV Charging Point,London Power Networks (LPN),7,0,-0.2064694,0.20646940171718597
Stevenage District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,36,36.200146,-0.20014572143554688
Richmond upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),6,26,22.795174,3.2048263549804688
Redbridge London Boro,Demand,EV Charging Point,London Power Networks (LPN),7,0,-0.2064694,0.20646940171718597
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),10,37,36.558002,0.4419975280761719
Harlow District,Generation,Solar PV,Eastern Power Networks (EPN),10,29,34.649887,-5.6498870849609375
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),20,80,72.41308,7.586921691894531
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),9,32,31.383266,0.6167335510253906
Ashford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,22,26.036242,-4.03624153137207
Bedford (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),6,19,26.354898,-7.354898452758789
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,32,30.115936,1.884063720703125
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),11,38,39.11096,-1.1109580993652344
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,28,26.585867,1.414133071899414
Camden London Boro,Generation,Solar PV,London Power Networks (LPN),7,14,31.784615,-17.78461456298828
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),8,32,30.115936,1.884063720703125
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,22,21.950361,0.04963874816894531
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),48,53,115.61721,-62.617210388183594
Welwyn Hatfield District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),11,0,0.3727799,-0.372779905796051
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),6,31,22.058546,8.94145393371582
Woking District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,24,26.013351,-2.0133514404296875
Merton London Boro,Demand,EV Charging Point,London Power Networks (LPN),8,0,-0.009179374,0.0091793742030859
Hastings District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,29,31.383266,-2.3832664489746094
Barnet London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,26,24.699095,1.3009052276611328
South Cambridgeshire District,Demand,Heat Pump,Eastern Power Networks (EPN),9,0,0.04452022,-0.04452022165060043
Crawley District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,25,29.56631,-4.566310882568359
Bexley London Boro,Generation,Solar PV,London Power Networks (LPN),7,19,25.616076,-6.61607551574707
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),8,28,30.404512,-2.404512405395508
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,32,35.9471,-3.947101593017578
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),7,32,25.788568,6.211431503295898
Richmond upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),6,17,22.795174,-5.795173645019531
Dartford District (B),Demand,EV Charging Point,London Power Networks (LPN),6,0,-0.29855657,0.2985565662384033
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,44,47.311977,-3.3119773864746094
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),9,32,32.754826,-0.7548255920410156
Worthing District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.040291257,0.040291257202625275
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,24,22.795174,1.2048263549804688
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),8,25,28.8295,-3.829500198364258
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),12,38,42.501064,-4.501064300537109
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),11,40,39.408703,0.5912971496582031
Maidstone District (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,34,38.238605,-4.238605499267578
Harlow District,Generation,Solar PV,Eastern Power Networks (EPN),6,19,23.365166,-4.365165710449219
Broadland District,Generation,Solar PV,Eastern Power Networks (EPN),7,27,26.761532,0.23846817016601562
Maldon District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,31,36.558002,-5.558002471923828
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),10,139,37.286797,101.71320343017578
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),6,21,23.991488,-2.991487503051758
Ipswich District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,63,32.49691,30.503089904785156
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),11,44,38.238605,5.761394500732422
Havering London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),10,0,0.3209468,-0.3209468126296997
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),8,28,29.56631,-1.5663108825683594
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),23,81,75.50923,5.4907684326171875
Richmond upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),8,25,29.56631,-4.566310882568359
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),10,38,38.018696,-0.018695831298828125
Hertsmere District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,28,28.325722,-0.32572174072265625
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),9,32,30.804934,1.1950664520263672
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,34,29.834396,4.1656036376953125
Mid Sussex District,Generation,Solar PV,South Eastern Power Networks (SPN),11,40,38.238605,1.7613945007324219
Tendring District,Demand,Heat Pump,Eastern Power Networks (EPN),15,0,0.772113,-0.772113025188446
Kingston upon Thames London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),6,15,22.795174,-7.795173645019531
Dartford District (B),Generation,Solar PV,London Power Networks (LPN),11,36,34.48959,1.5104103088378906
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),6,21,22.795174,-1.7951736450195312
Bexley London Boro,Demand,EV Charging Point,London Power Networks (LPN),9,0,-0.1502878,0.15028780698776245
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),10,34,35.682945,-1.6829452514648438
Lambeth London Boro,Generation,Solar PV,London Power Networks (LPN),6,21,22.375008,-1.3750076293945312
Breckland District,Generation,Solar PV,Eastern Power Networks (EPN),6,28,23.991488,4.008512496948242
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,32,28.514223,3.485776901245117
Mid Sussex District,Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
North Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,34,35.544876,-1.5448760986328125
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,23,22.795174,0.20482635498046875
Canterbury District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,33,35.682945,-2.6829452514648438
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),11,63,39.832954,23.16704559326172
Runnymede District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,13,22.795174,-9.795173645019531
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),16,55,59.165558,-4.165557861328125
Basildon District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.043810308,-0.04381030797958374
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),31,87,95.53936,-8.539360046386719
Havering London Boro,Generation,Solar PV,Eastern Power Networks (EPN),6,16,22.886513,-6.886512756347656
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,32,30.113226,1.8867740631103516
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),20,64,67.5648,-3.5647964477539062
Bexley London Boro,Generation,Solar PV,London Power Networks (LPN),8,26,29.068392,-3.068391799926758
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,24,26.456924,-2.4569244384765625
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),12,39,42.49532,-3.495319366455078
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),13,43,44.628124,-1.6281242370605469
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,25,30.745604,-5.745603561401367
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),14,55,51.646015,3.353984832763672
Newham London Boro,Generation,Solar PV,London Power Networks (LPN),6,19,22.375008,-3.3750076293945312
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,37,48.222427,-11.222427368164062
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),17,55,57.942516,-2.942516326904297
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),8,23,28.925598,-5.92559814453125
Stevenage District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,29,32.899853,-3.899852752685547
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),16,52,56.276592,-4.276592254638672
Maidstone District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,49,44.087036,4.9129638671875
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,24,31.383266,-7.383266448974609
Harlow District,Generation,Solar PV,Eastern Power Networks (EPN),16,46,54.22786,-8.227859497070312
Arun District,Generation,Solar PV,South Eastern Power Networks (SPN),7,67,26.036242,40.96375846862793
Mole Valley District,Generation,Solar PV,South Eastern Power Networks (SPN),8,20,29.56631,-9.56631088256836
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),6,33,27.433323,5.566677093505859
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),8,30,28.698622,1.3013782501220703
Southend-on-Sea (B),Generation,Solar PV,Eastern Power Networks (EPN),7,23,26.874443,-3.8744430541992188
Medway (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,22.886513,-3.8865127563476562
Adur District,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Dacorum District (B),Generation + Demand,Battery Storage,Eastern Power Networks (EPN),24,89,54.859966,34.14003372192383
Arun District,Generation,Solar PV,South Eastern Power Networks (SPN),13,48,44.087036,3.9129638671875
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),18,66,63.127037,2.8729629516601562
Epsom and Ewell District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,24,29.67632,-5.676319122314453
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),7,25,25.575472,-0.5754718780517578
Braintree District,Generation,Solar PV,Eastern Power Networks (EPN),11,39,37.82723,1.1727714538574219
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),10,32,36.558002,-4.558002471923828
East Suffolk District,Demand,Heat Pump,Eastern Power Networks (EPN),6,0,0.5728932,-0.5728932023048401
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),26,94,81.157745,12.842254638671875
Lewisham London Boro,Generation,Solar PV,London Power Networks (LPN),7,20,25.616076,-5.61607551574707
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,48,37.59402,10.40597915649414
Waltham Forest London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,-0.50794685,0.5079468488693237
City of Peterborough (B),Generation,Solar PV,Eastern Power Networks (EPN),12,44,108.42772,-64.42771911621094
West Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),19,69,71.78652,-2.7865219116210938
Broxbourne District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.29344958,-0.2934495806694031
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,22,37.27283,-15.272830963134766
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),10,38,35.682945,2.3170547485351562
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,20,22.795174,-2.7951736450195312
Bexley London Boro,Generation,Solar PV,London Power Networks (LPN),10,30,32.427097,-2.4270973205566406
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),11,37,38.238605,-1.2386054992675781
Mole Valley District,Generation,Solar PV,South Eastern Power Networks (SPN),14,52,49.65116,2.3488388061523438
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,25,26.036242,-1.0362415313720703
Bexley London Boro,Demand,EV Charging Point,London Power Networks (LPN),9,0,-0.1502878,0.15028780698776245
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),15,55,57.544067,-2.5440673828125
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),21,47,70.82963,-23.829627990722656
Guildford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,26,26.036242,-0.03624153137207031
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),6,23,37.27283,-14.272830963134766
Sutton London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),10,36,35.682945,0.31705474853515625
Medway (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
South Norfolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,36,32.960888,3.039112091064453
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),7,18,26.585867,-8.585866928100586
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),15,54,52.53938,1.4606208801269531
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),14,43,53.371128,-10.37112808227539
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,21,21.876118,-0.8761177062988281
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),16,56,56.609344,-0.609344482421875
Canterbury District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),7,0,0.02479649,-0.024796489626169205
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),25,76,82.2726,-6.2725982666015625
Barking and Dagenham London Boro,Generation,Solar PV,Eastern Power Networks (EPN),6,21,22.109924,-1.10992431640625
East Suffolk District,Demand,Heat Pump,Eastern Power Networks (EPN),11,0,0.93606514,-0.936065137386322
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),9,27,31.383266,-4.383266448974609
Havering London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,23,26.585867,-3.585866928100586
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,17,22.026218,-5.026218414306641
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,58,44.087036,13.9129638671875
Tonbridge and Malling District (B),Generation,Solar PV,South Eastern Power Networks (SPN),13,58,44.35512,13.644878387451172
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,38,44.62238,-6.622379302978516
Horsham District,Generation,Solar PV,South Eastern Power Networks (SPN),6,22,22.795174,-0.7951736450195312
Enfield London Boro,Generation,Solar PV,Eastern Power Networks (EPN),6,16,22.886513,-6.886512756347656
St. Albans District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,31,36.390465,-5.390464782714844
South Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),25,82,87.47963,-5.4796295166015625
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,18,22.125893,-4.125892639160156
Tunbridge Wells District (B),Generation,Solar PV,South Eastern Power Networks (SPN),8,27,29.56631,-2.5663108825683594
Chelmsford District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,-0.5199084,0.5199084281921387
Gravesham District (B),Generation,Solar PV,South Eastern Power Networks (SPN),10,31,35.04528,-4.045280456542969
Three Rivers District,Demand,EV Charging Point,Eastern Power Networks (EPN),9,0,0.20963086,-0.20963086187839508
Dover District,Generation,Solar PV,South Eastern Power Networks (SPN),6,20,22.5475,-2.5475006103515625
